id,nombre_biblioteca,fecha_fundacion,mail,id_departamento
1062,Bib.Pub. Bernardino Rivadavia,1925-05-10,bipobrchaves@yahoo.com.ar,6014
2170,Bib.Pop. Dr. Victor H. Barrera,1942-11-30,barrerabp@hotmail.com,6014
1554,Bib.Pop. Andrés Vaccarezza,1925-01-01,eleana_1983@hotmail.com,6021
2135,Bib.Pop. José Ingenieros,1940-06-01,bpjimechita@live.com.ar,6021
3585,Bib.Pop. Joan Rico de Bahia,1994-04-23,,6028
3792,Bib.Pop. Mahatma Gandhi,1980-01-01,bpmgandhi@tutopia.com,6028
4260,Bib.Pop. Fray Luis Beltrán,2007-11-16,neanvi@yahoo.com.ar,6028
3952,Bib.Pop. Manuel Belgrano del Barrio de Villa París,1998-05-16,bib_manuelbelgrano_glew@yahoo.com.ar,6028
90,Amigos de la Biblioteca Esteban Adrogué,1918-08-01,,6028
3040,Bib.Pop. Juan Bautista Alberdi,1984-09-28,,6028
2870,Bib.Pop. Pablo Rojas Paz,1969-03-22,bibliorojaspaz@gmail.com,6028
4001,Bib. Pop. La Margarita blanca,1999-08-28,,6028
3243,Bib.Pop. Malvinas argentinas,1986-04-02,,6028
2982,Bib.Pop.Soc.Fom. Martín Fierro,1956-03-11,bibmfierro@yahoo.com.ar,6028
3841,Bib. Pop. Atahualpa Yupanqui,1999-12-10,atahualpa1999@gmail.com,6028
911,Bib.Pop. Juan M. de Pueyrredón,1922-05-14,,6035
4265,Bib. Pop. Oscar Smith,2008-07-09,bibliotecapopularoscarsmith@yahoo.com,6035
3051,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,1985-09-13,bnicolasavellaneda@yahoo.com.ar,6035
2543,Bib.Pop. José Mármol,1940-06-28,bjmarmol@yahoo.com.ar,6035
2296,Bib.Pop. Bartolomé Mitre,1932-03-01,bibpopularmitre@yahoo.com.ar,6035
4086,Bib.Pop. Enrique del Valle Iberlucea,2002-06-02,,6035
252,Bib.Pop. Juan Bautista Alberdi,1918-10-10,punkyflores69@hotmail.com,6035
3908,Bib.Pop. Dock Sud,1998-04-24,bibliotecapopulardocksud@gmail.com,6035
4136,Bib.Pop. Maestro Alfredo Bravo,1980-01-01,bibliotecabravo@yahoo.com.ar,6035
217,Bib.Pop. Veladas de estudio después del trabajo,1921-10-28,,6035
4192,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,1980-01-01,bsfsarmiento1925@yahoo.com.ar,6035
3719,Bib.Pop. Presidente Avellaneda,1987-07-24,bibliotecapopularpteavellaneda@yahoo.com.ar,6035
3063,Bib.Pop. Dr. Estanislao S. Zeballos,2001-09-15,spebpop@gmail.com,6035
3561,Bib.Pop. Alfredo Palacios,1996-05-07,bipopalacios@yahoo.com.ar,6035
3824,Bib.Pub.Mun.Pop. de Avellaneda,1919-12-22,bpmavellaneda@hotmail.com,6035
3193,Bib.Pub.Mun. Manuel Vilardaga,,,6042
83,Bib.Pop. Bartolomé J. Ronco,,info@bibliotecaronco.com.ar,6049
2068,Bib.Pop. Asoc.Cult. de Chillar,1939-01-06,bibliochillar@yahoo.com.ar,6049
111,Bib.Pop. Almafuerte,1918-05-26,,6049
1465,Bib.Pop. Mariano Moreno,1925-08-24,bibliomarianomorenoiw@gmail.com,6056
3929,Bib.Pop. Rosario Sur,2000-09-16,biblioteca_rosariosur@yahoo.com.ar,6056
3795,Bib.Pop. Don Germán García,1996-11-20,bpggbb@yahoo.com.ar,6056
4137,Bib.Pop. Simón Rodriguez,1980-01-01,simonrodriguezbiblioteca@gmail.com,6056
3587,Bib.Pop. Eduardo Mallea,1980-01-01,bibliotecamallea@yahoo.com.ar,6056
3392,Bib.Pop. Pajarita de papel,1980-01-01,,6056
4022,Bib. Pop. Gabriela Mistral,1996-04-13,bibpopgabmistral@yahoo.com.ar,6056
2841,Asoc. José Hernández,1966-11-10,,6056
2871,Bib.Pop. Mariano Moreno,1963-06-01,,6056
4256,BIb. Pop. Martín Allica,2006-04-24,bibliotecamartinallica@yahoo.com.ar,6056
3132,Bib.Pop. Ing. Domingo Pronsato,1989-12-29,bibliotecapronsato@yahoo.com.ar,6056
1663,Bib.Pop. Bartolomé Mitre,1922-04-10,bibliotecabmitre@yahoo.com.ar,6056
100,Bib.Pop. Bernardino Rivadavia,,abrbp@abrbp.org.ar,6056
4155,Bib. Pop. Villa Duprat,1980-01-01,biblioduprat@gmail.com,6056
2790,Bib.Pop. Roberto Payro,1960-09-27,,6056
1021,Bib.Pub. Pablo A. Pizzurno,1923-12-01,bibliotecapizzurno@yahoo.com.ar,6063
2159,Bib.Pop. José Manuel Estrada,1919-10-05,,6070
1469,Bib.Pop.Mun. Fray Luis de Bolaños,,,6070
3718,Bib.Pop. Mario Bravo,1980-01-01,,6070
2688,Bib.Pop.Mun. Teniente Gral. Bme. Mitre,1939-04-22,bibmitre@yahoo.com.ar,6077
2723,Bib.Pop. Juan J. Bernal Torres,1946-12-26,bipopbernaltorres@gmail.com,6084
1280,Bib.Pop. Manuel Belgrano,1924-08-04,bpmbelgrano@hotmail.com,6091
3984,Bib.Pop. Fundaterra,1980-01-01,bibliotecafundaterra@yahoo.com.ar,6091
3046,Bib.Pop. Padre Carlos Mugica,1986-11-04,bibliotecapadremugica@hotmail.com,6091
4075,Bib.Pop. Juan María Gutierrez,2002-09-21,bibliotecapopularjmgutierrez@hotmail.com,6091
3033,Bib.Pop. José Ingenieros,1984-05-12,bibliotecadeplatanos@yahoo.com.ar,6091
4169,Bib.Pop. y Cent. Victoria Ocampo,1980-01-01,ranelaghbibliocampo@yahoo.com.ar,6091
2492,Bib.Pop. Mariano Moreno,1980-01-01,,6098
2473,Bib.Pop. Ricardo Güiraldes,1949-02-02,bibliotecaguiraldes@yahoo.com.ar,6098
2318,Bib.Pop. Belisario Roldán,1947-06-20,,6098
3692,Bib.Pop. Presbítero Pascual Ruberto,1995-06-10,pascualruberto@hotmail.com,6098
2082,Bib. Pop. Mariano Moreno,1944-06-11,,6098
1864,Bib.Pop. Pestalozzi,1935-07-09,bibliopopularpestalozzi@gmail.com,6098
2490,Bib.Pop. Almafuerte,1943-06-06,,6098
1769,Bib.Pop. D.F.Sarmiento,1933-07-21,bpurdampilleta@yahoo.com.ar,6105
3801,Bib.Pop. María Alcira Cabrera,1972-07-08,,6105
1478,Bib.Pop. D.F.Sarmiento,1926-05-26,cultural_07@yahoo.com.ar,6105
93,Bib.Pop. Bernardino Rivadavia,1911-12-15,bib_rivadavia@yahoo.com.ar,6105
4142,Bib.Pop. José Ignacio Warnes,1980-01-01,bpjiwarnes@yahoo.com.ar,6112
1857,Bib.Pop. Bernardino Rivadavia,1926-05-01,,6112
3749,Bib.Pop. Florencio López,1997-07-31,,6112
2191,Bib.Pop. Manuel Belgrano,1943-12-03,bbelgrano@yahoo.com.ar,6112
4024,Bib.Pop. Jeppener,2002-03-22,,6119
4166,Bib.Pop. Dr. Frutos Enrique Ortiz,1980-01-01,gallardosandra@hotmail.com,6119
1676,Bib.Pop. José de San Martín,1932-05-25,,6119
3468,Bib. Pop. Pilar A. de Traverso,1992-09-08,bibliotecatraverso@yahoo.com.ar,6126
1266,Bib.Pop. D.F.Sarmiento,1927-07-01,bibliotecapopulardfsarmiento@hotmail.com,6134
3900,Bib.Pop. Barrio San Esteban,1980-01-01,sanestebanbibliotecapopular@yahoo.com.ar <SANESTEBANBIBLIOTECAPOPULAR@YAHOO.COM.AR>,6134
1002,Bib.Pop. Almafuerte,1923-05-21,bpalmafuerte@hotmail.com,6140
4289,Bib.Pop. El Libro Alegre,2009-02-28,biblioellibroalegre@hotmail.com.ar,6147
2861,Bib.Pop. José Ingenieros,1963-09-07,biblioingenieros@gmail.com,6147
3045,Bib.Pop.Esc. Dr. Enrique Smith,1984-12-01,,6147
268,Bib.Pop. Roque Saénz Peña,1916-10-28,bibliotejedor@yahoo.com.ar,6154
258,Bib.Pop. Bernardino Rivadavia,1920-09-26,sanjose@servicoopsa.com.ar,6154
270,Bib.Pop. Juan Bautista Alberdi,1914-09-08,bibliocada@yahoo.com.ar,6161
2264,Bib.Pop. Juan José Castelli,1940-04-24,biblicast@yahoo.com.ar,6168
1883,Bib.Pop. Mariano Moreno,1920-04-24,,6175
4334,Bib.Pop. Puntaltense Mercedes de San Martín,2002-07-19,bibliomercedesdesanmartin@gmail.com,6182
3571,Bib.Pop. Esc. Ing. Luis Luiggi,1994-09-23,,6182
3364,Bib.Pop. Dr. Ricardo Gutierrez,1980-01-01,nancy_flo@hotmail.com,6182
1770,Bib.Pop. Juan Bautista Alberdi,1933-02-19,bibjbalberdi@gmail.com,6182
3483,Bib.Pop. de José A. Guisasola,1982-03-01,biblioelperdido@gmail.com,6189
1347,Bib.Pop. Florentino Ameghino,1928-12-05,biblioameghino@altisa.com.ar,6189
1312,Bib.Pop. Coronel Dorrego,1928-05-24,,6189
2225,Bib.Pop. Pringles,1932-07-10,,6196
3591,Bib.  Infantil de Coronel Suarez,1991-01-31,glabuscfliawach@gmail.com,6203
101,Bib.Pop. D.F.Sarmiento,1915-01-31,bibliotecasarmiento_2000@yahoo.com.ar,6203
3894,Asoc.Bib.Pop.Púb.Esc. Dr. Baldomero Fernández Moreno,1969-09-27,bibliotecapopularhuanguelen@gmail.com,6203
222,Bib.Pop. Guillermo Rawson,1920-01-01,,6210
1381,Bib.Pop. D.F.Sarmiento,1907-01-01,,6210
3631,Bib.Pop. Ambulante y Rural de Chascomus,1994-10-07,labiblioamb@hotmail.com,6217
3038,Bib.Pop.Soc.Fom. Nuestra Señora de Luján,1982-09-25,biblovillalujan@hotmail.com,6217
113,Bib.Pop. D.F.Sarmiento,,bpsarmiento113@yahoo.com.ar,6217
3890,Bib.Pop. del Ipora Padre Luis Sánchez,1997-02-22,bibliotecaipora2000@yahoo.com.ar,6217
3189,Bib.Pub. San José Obrero,1986-02-13,biblioteka_jso@yahoo.com,6217
105,Bib.Pop. Dr. Antonio Novaro,,bibliotecanovaro@hotmail.com,6224
118,Bib.Pop. Gral. San Martín,1945-10-27,,6238
1620,Bib.Pop. Gral. José de San Martín,1932-06-18,,6245
4065,Bib.Pop. Osvaldo H. Merlo,1980-01-01,anamzanoni@yahoo.com.ar,6245
3647,Bib.Pub.Pop.Mun. B. Fernández Moreno,1957-04-02,,6245
2151,Bib.Pop.Pub. Bartolomé Mitre,1924-11-18,,6245
167,Bib.Pop. Mariano Moreno,1917-07-22,,6245
1673,Bib.Pop. Bernardino Rivadavia,1932-09-25,bp20dediciembre@gmail.com,6252
861,Bib.Pop. Juan Bautista Alberdi,1929-07-09,alberdibiblio@yahoo.com.ar,6252
3452,Biblioteca Popular El Principito,1980-01-01,,6260
2843,Bib.Pop. Florentino Ameghino,1964-05-24,bibliotecaameghino@gmail.com,6260
1733,Bib.Pop. Bernardino Rivadavia,1932-09-01,,6260
2810,Bib.Pop. D.F.Sarmiento,1959-08-09,bpdfsts@yahoo.com.ar,6270
4357,Soc. de Fom. y Bib. Pop. del Bo. Parque El Trébol,1993-11-06,bibliotecaeltrebol@gmail.com,6270
123,Bib.Pop. Del Centro Cult. Sarmiento,1920-07-04,bibliotecasarmiento_varela@yahoo.com.ar,6274
3522,Bib. Pop. Lisandro de la Torre,1995-08-19,,6274
3916,Cen. Cult.  y Bib.Pop. Poetisa Alfonsina Storni,2000-07-02,,6274
4170,Bib. Pop. Florencio Sánchez,1980-01-01,bibliotecaflorenciosanchez@yahoo.com.ar,6274
3499,Bib.Pop. Guillermo Enrique Hudson,1980-01-01,arravera@hotmail.com,6274
3926,Bib.Pop. Hugo del Carril,1980-01-01,bibliotecahugodelcarril@gmail.com,6274
4242,Asoc. Cult. y Bib. Pop. Dr. Ernesto de Muro,2004-05-18,bpdemuro@live.com.ar,6274
3158,Bib.Pop. Almafuerte,1985-03-31,almafuertebib@yahoo.com.ar,6274
3891,Bib. Pop. Dr. Florencio Varela,1999-08-30,,6274
4051,Bib.Pop. Santo Tomás de Aquino,1980-01-01,bibliostomas@yahoo.com.ar,6274
3518,Bib.Pop.Mun. General José de San Martín,1976-12-19,biblioteca_miramar@yahoo.com.ar,6280
3767,Bib.Mun.Pop. Eloisa M. Rissoli,1997-05-25,,6280
131,Bib.Pop. Florencio Balcarce,1915-04-29,bibliofbalcarce@yahoo.com.ar,6287
1707,Bib.Pop. Bernardino Rivadavia,1932-10-12,,6294
4119,Bib.Pop. Domingo Faustino Sarmiento de Ascención,2003-10-23,,6294
276,Bib.Pop. Carlos Guido Spano,1980-01-01,,6308
2789,Bib.Pop. José Hernández del Club Deportivo El León,1944-04-02,,6315
2914,Bib.Pop. Presidente Mitre,1944-03-15,nesoa_07@yahoo.com.ar,6322
174,Bib.Pop. Felipe de Robles (h,1914-12-02,,6329
3292,Bib.Pop.Pub.Mun. General Lavalle,1974-05-01,bibliotecaglavalle@hotmail.com,6336
3922,Bib. Pop. Juan XXIII,2000-06-10,bibliotecapopularjuan23@hotmail.com,6351
2824,Bib. Esc. Pop. Ricardo Rojas,1961-03-01,,6351
3633,Bib.Pop.Esc. Antártida Argentina,1996-11-22,bibliogranada@yahoo.com.ar,6351
126,Bib.Pop. D.F.Sarmiento,1913-06-13,,6351
4122,Bib.Pop. y Cen.Cul. Centenario,1996-09-21,,6357
4349,Bib.Pop. El Desafío para Crecer,2014-11-10,,6357
3836,Bib.Pop. Juan Domingo Perón,1980-01-01,,6357
4076,Bib.Pop. Barrio Santa Rita,1980-01-01,,6357
3476,Bib.Pop.y C.Cult. Mar del Plata,1994-11-21,,6357
2697,Bib.Pop. Juventud Moderna,1911-11-16,,6357
2063,Bib.Pop. Leandro N. Alem,1936-07-20,,6364
3960,Bib.Pop. Martín Fierro,1980-01-01,,6371
3628,Bib. Pop. Roberto Clemente,1980-01-01,,6371
1242,Bib.Pop. Juan Bautista Alberdi,1927-02-23,bpalberdi@gmail.com,6371
3994,Bib. Pop. Rioplatense,2000-08-19,bibliorioplatense@hotmail.com,6371
4071,Bib.Pop. y Cen.Cul Villa Humberto,1980-01-01,,6371
4073,Bib.Pop. José Murillo,1980-01-01,bibliomurillo@yahoo.com.ar,6371
4178,Bib.Pop. Profesor Carlos Serraz,1980-01-01,humbertobielli@hotmail.com,6371
3728,Bib.Esc.Pop. Fray Mocho,1980-01-01,,6371
4393,La Carcova,2022-07-19,,6371
4175,Bib.Pub.Pop. Parlante Nuevo Ser,1980-01-01,biblosnuevoser@hotmail.com,6371
287,Bib.Pop. Gral. San Martín,1914-10-04,bibliopopsanmartin2001@yahoo.com.ar,6371
3473,Bib.Pop. Maestra María Silva,1945-04-22,chapmaris@hotmail.com,6371
1178,Bib.Pop. Bernardino Rivadavia,1925-07-09,bibliotecarivadavia@yahoo.es,6371
2830,Bib.Pop. Maestro Diego Pombo,1964-11-15,bibliopombo@gmail.com,6371
4280,Bib.Pop. Minchekewun,2011-05-12,,6385
2501,Bib. Pop. Mariano Moreno,1939-05-07,bibpopmm_lostoldos@yahoo.com.ar,6385
3197,Bib.Pop.Pub.Mun. Benito Lynch,1979-10-27,blynch@servicoopsa.com.ar,6392
3724,Bib.Esc.Pop. José Manuel Estrada,1961-10-21,bibliob@yahoo.com.ar,6392
3196,Bib.Pop.Pub.Mun. Dolores A. Cirio de Busso,1991-06-28,biblio@cseca.com.ar,6392
3339,Bib.Púb. Municipal Fortín de Gainza,1991-09-05,biblioteca_fortingainza09@hotmail.com,6392
3194,Bib.Pop.Pub.Mun. D.F.Sarmiento,1935-08-25,biblio@servicoopsa.com.ar,6392
4069,Bib.Pop. Dardo Nepomuceno Arditi Rocha,2000-11-27,bparditirocha@hotmail.com,6399
3715,Bib. Pop. José Hernández,1980-01-01,bibliojh97@yahoo.com.ar,6399
3925,Bib.Pop. Angela A.B. de Abraham,2000-08-20,,6399
4177,Bib.Pop. Dra. Alicia Teresa Morales,1980-01-01,bpaliciatmorales_garre@yahoo.com.ar,6399
2998,Bib.Pub. Mariano Moreno,1956-10-25,,6399
1248,Bib.Pop. Almafuerte,1922-06-14,bibliopopalmafuerte@yahoo.com.ar,6406
3621,Bib.Pop. Alfredo L. Palacios,1980-01-01,biblioapalacios@yahoo.com.ar,6408
2923,Bib.Pop.Soc.Fom. Julián Aguirre,1975-05-13,,6408
4002,Soc.y Bib.Pop. La tradición,2000-04-16,bibliotecalatradicion@yahoo.com.ar,6410
3928,Bib.Pop. Juan Bautista Alberdi,1940-05-07,,6413
139,Bib.Pop. Olegario V. Andrade,1909-05-27,,6413
1809,Bib.Pop. 9 de Julio,1933-06-02,biblioteca9dejulio@gmail.com,6413
1874,Bib.Pop. Manuel Belgrano,1929-02-19,armando_de_miguel@hotmail.com,6413
1054,Bib.Pop. Paz y trabajo,1923-04-12,,6413
4389,Bib. Pop. Pio Soberano,2022-03-11,piosoberanobibliotecapopular@gmail.com,6413
1412,Bib.Pop. Pedro Aguilera,1928-10-05,,6413
1454,Bib.Pop. Esteban Echeverría,1930-02-04,,6413
4125,Soc.Fo.y Bib.Pop. El Tala,1980-01-01,bib-arocha@educar,6420
4368,Bib. Pop.Dr. José María Sobral,2005-07-23,bibliotecasobral@yahoo.com.ar,6420
3910,Bib.Pop. Juan XXIII,1980-01-01,,6420
3128,Bib.Pub. Alfonsina Storni,1980-01-01,ctc0057@hotmail.com,6420
3574,Bib.Pop. Vito Dumas,1992-06-15,bibliotecamardeltuyu@yahoo.com.ar,6420
3696,Bib.Pop. Las Toninas,1985-09-01,biblo093@yahoo.com.ar,6420
3950,Bib.Pop. Gabriela Mistral,1980-01-01,,6427
4041,Bib. Pop. Virrey del Pino,1999-12-06,biblioteca308@yahoo.com.ar,6427
3913,Bib.Pop. Trabajadores del Yaguané,1999-02-02,,6427
4010,Bib.Pop. Amigos de La Tablada,1998-11-10,amigosdelatablada@yahoo.com.ar,6427
4299,Bib.Pop. y Ctro Cult. José M. Estrada,1976-09-04,bibliotecamflara@hotmail.com,6427
3241,Bib.Pop. Ceferino Namuncura,1980-01-01,,6427
3203,Bib.Pop. Almafuerte,1993-06-11,bibalma@yahoo.com.ar,6427
3730,Bib. Pop. Madre Teresa,1998-02-17,,6427
3921,Bib.Pop. Tinkunaku-Lugar de encuentro,2000-06-01,bptinkunaku@yahoo.com.ar,6427
4228,Bib.Pop. Almafuerte de Rafael Castillo,1980-01-01,biblioteca_alma@hotmail.com,6427
4182,Bib.Pop. Rotaria,1980-01-01,bibliotecapopularrotaria@yahoo.com.ar,6427
2880,Bib.Pop. Alfonsina Storni,1963-11-03,,6427
1880,"Centro Cultural y Recreativo, Bib.Pop. Mariano Moreno",1930-04-18,bibliomoreno@yahoo.com.ar,6427
4338,Bib.Pop. de la Imagen (CEIC),2003-02-21,bibliotecapopularimagen121@gmail.com,6427
3762,Bib. Pop. Villa Sahores,1999-03-30,biblioteca303@yahoo.com.ar,6427
3293,Bib.Pop. Delia C. de Armagno,1980-01-01,fundaciondeliacdea@gmail.com,6427
3828,Bib. Pop. Juan B. Justo,1930-10-05,roxanacaterbetti42@hotmail.com,6434
2767,Bib.Pop. Dr. E. Angel Barriocanal,1955-09-03,bibliotecabarriocanal@yahoo.com.ar,6434
3431,Bib.Pop. Florentino Ameghino,1980-01-01,bibliopopameghino@hotmail.com,6434
2713,Bib. Pp. Soc. Bomberos Voluntarios de Lanús,1945-10-12,,6434
150,Bib.Pop. Libertador San Martín,1917-09-07,,6434
3448,Bib.Pop.Mun. Mariano Moreno,1994-06-06,,6434
4021,Bib.Pop. Olga Cossettini,2001-07-16,,6434
4135,Bib.Pop. Monte Chingolo,1980-01-01,bibliotecapopularmontechingolo@gmail.com,6434
3649,Bib.Pop. Mariano Moreno,1997-03-16,,6434
294,Bib.Pop.y Soc.Fom. D.F.Sarmiento,1918-03-01,bibliotecasarmiento@yahoo.com.ar,6434
2676,Bib.Pop. Alberdi,1919-09-19,balberdiescalada@gmail.com,6434
4117,Cen. y Bib.Pop. Osvaldo Pugliese,1999-04-30,,6434
1706,Bib.Pop. 1 de Mayo,1914-12-13,bibprimerodemayo@hotmail.com,6434
4376,Bib.Pop. La Chicharra,2007-10-01,lagrietaylachicharra@gmail.com,6441
4288,Bib.Pop. Del otro lado del árbol,2011-02-01,delotroladodelarbol@hotmail.com,6441
2498,Bib.Pop. Mario L. Sureda,1947-09-21,,6441
2546,Bib.Pop. Mariano Moreno,1939-03-27,,6441
2271,Bib.Pop.Bartolomé Mitre,1933-09-11,cfloshornos@yahoo.com.ar,6441
3211,Bib.Pop. Dr. Roman S. Harosteguy,1980-01-01,biblioharosteguy@yahoo.com.ar,6441
4171,Cent.Cu. Y Bib.Pop. Enlazando palabras,1980-01-01,ongenlazandopalabras@hotmail.com,6441
3956,Com.Vec.y Bib.Pop. Gonnet Bell,1995-06-02,,6441
4066,Bib. Pop. Tupac Amaru infantil y juvenil,1999-10-12,bibliotecatupacamaru@yahoo.com.ar,6441
249,Bib.Pop. Alejo Iglesias,1920-06-08,,6441
3736,Bib.Pop. José Hernández,1997-09-20,,6441
2436,"Bib.Pop. Juan Vucetich, C.C. Y Dep. Aconcagua",1944-07-01,bibliojuanvucetich@gmail.com,6441
1830,Bib.Pop. Joaquín V. González,1903-10-12,,6441
1747,Bib.Pop. Dr. Nicolás Avellaneda,1927-12-27,,6441
165,Bib.Pop. Florentino Ameghino,1918-05-02,bibliotecaalborada@yahoo.com,6441
1483,Bib.Pop. Bernardino Rivadavia,1915-10-01,,6441
2585,Bib.Pop. Florentino Ameghino,1936-09-26,bibliofameghino@yahoo.com.ar,6441
1973,Bib. Euforión,1927-08-03,,6441
2644,Bib.Pop. Dardo Rocha,1954-11-30,,6441
2069,Bib.Pop.Gral. San Martín,1936-04-15,bibliotecapopularsanmartin@hotmail.com,6441
4140,Cen. y Bib.Pop. Carlos Bormida,2001-11-04,bibliopcarlosbormida@yahoo.com.ar,6441
2757,Bib.Pop. Bernardo de Monteagudo,1940-11-12,,6441
3717,Bib. Pop. Homero Manzi,1980-01-01,bib.homeromanzi@gmail.com,6441
3786,Bib.Pop. Instituto Platense de Cult. Hispánica,1960-10-12,,6441
3313,Bib.Pub. Central Gral. José de San Martín,1950-02-23,,6441
3681,Bib.Pop. E. S. Discépolo para la Cult.Nac.,1980-01-01,,6441
2323,Bib. Pop. Florentino Ameghino,1945-01-01,bibliotecafameghino@hotmail.com,6441
3954,Casa del Tango y Bib.Pop. Carlos Gardel,1980-01-01,casadeltango_lp@hotmail.com.ar,6441
2098,Cen. de Fom. M. V y Bib.Pub.Pop. Enrique Gonino,1929-04-16,bibliotecameridianov@hotmail.com,6441
2127,Bib.Pop. Luis A. Repetto,1941-12-06,bprepetto@gmail.com,6441
3877,Asoc.Cult.Bib.Pop. Vida y Lucha de Elizalde,1993-08-23,biblioteca_elizalde@yahoo.com.ar,6441
2438,Bib.Pop. D.F.Sarmiento,1923-12-23,,6441
1920,Bib. Pop. Mariano Moreno,1936-07-11,bibpopmarianomoreno@hotmail.com,6441
2134,Bib.Pop. Laprida,1940-12-01,bplaprida@yahoo.com.ar,6448
1326,Bib.Pop. 25 de Mayo,1928-08-12,,6455
2872,Bib.Pop.Mun. Esteban Echeverría,1961-07-09,bibvedia@yahoo.com.ar,6462
87,Bib.Pop. D.F.Sarmiento,1916-08-20,bibliotecapopular@live.com.ar,6462
3153,Bib.Pop. Mariano Moreno,1988-06-20,nuevabibliomatienzo@hotmail.com,6462
3946,Asoc.Bib.Pop.Mun. Jullian de Castiglioni,1980-01-01,,6469
177,Bib.Pop.Mun. D.F.Sarmiento,,bibliotecasarmientocoop@hotmail.com.ar,6469
2366,Bib.Pop. José M. Estrada,1945-09-17,,6469
